,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
2,429485215,20150429,201504,2015,2015.326,BUS,BANK,,BUS,1,71,71,7,2,7.4,2,1,2,1.51843817787418,2,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,0,"New Jersey, United States",US,USNJ,,40.314,-74.5089,NJ,20150429193000,http://www.financialbuzz.com/bitcoin-exchange-itbit-seeks-new-york-banking-license-260064,bitcoin exchange itbit seeks new york banking license 260064,60,en,1
5,521617949,20160316,201603,2016,2016.2082,BUS,BANK,,BUS,1,10,10,1,1,0.0,5,1,5,-5.80046403712297,4,"Mizuho, Hokkaido, Japan",JA,JA12,34319,43.8886,143.637,-237002,0,"Mizuho, Hokkaido, Japan",JA,JA12,34319,43.8886,143.637,-237002,20160316150000,http://www.pymnts.com/news/bitcoin-tracker/2016/mt-gox-bitcoin-bank-case-to-be-heard-in-us-court/,mt gox bitcoin bank case to be heard in us court,48,en,1
6,456149459,20150808,201508,2015,2015.5973,USA,UNITED STATES,USA,,1,60,60,6,2,6.0,4,1,4,2.68317853457173,3,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,0,"Wenatchee, Washington, United States",US,USWA,WA007,47.4235,-120.31,1527897,20150808111500,http://www.coindesk.com/press-releases/bitcoin-solutions-provider-hashingspace-secures-business-incentives-advisory-services-from-duff-phelps/,bitcoin solutions provider hashingspace secures business incentives advisory services from duff phelps,102,en,1
7,413105607,20150228,201502,2015,2015.1589,AUS,MELBOURNE,AUS,,1,141,141,14,3,-6.5,6,1,6,-2.03252032520326,4,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,0,"Melbourne, Victoria, Australia",AS,AS07,5430,-37.8167,144.967,-1586844,20150228101500,https://au.gwn7.yahoo.com/w1/news/a/-/local/26466504/adam-tepper-bitcoin-trader-and-ceo-of-independent-reserve-killed-in-motorcycle-accident-in-phuket/,adam tepper bitcoin trader and ceo of independent reserve killed in motorcycle accident in phuket,97,en,1
9,510815689,20160211,201602,2016,2016.1123,BUS,COMPANY,,BUS,0,120,120,12,3,-4.0,5,1,5,3.07692307692307,4,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,0,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,20160211180000,http://bitcoinist.net/cme-funds-cambridge-center-of-alternative-finance-research/,cme funds cambridge center of alternative finance research,58,en,1
11,465603239,20150910,201509,2015,2015.6849,CUBGOV,RAUL CASTRO,CUB,GOV,1,161,161,16,4,-4.0,1,1,1,1.40515222482436,1,Cuba,CU,CU,,21.5,-80.0,CU,1,Cuba,CU,CU,,21.5,-80.0,CU,20150910150000,http://www.cubaverdad.net/weblog/2015/09/airbitz-targeting-bitcoin-in-cuba/,airbitz targeting bitcoin in cuba,33,en,1
12,440299322,20150611,201506,2015,2015.4411,COP,POLICE,,COP,1,71,71,7,2,7.4,3,1,3,-0.990099009901001,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20150611193000,http://fusion.net/story/149244/teen-who-tried-to-give-isis-bitcoin-advice-pleads-guilty-to-supporting-terror/,teen who tried to give isis bitcoin advice pleads guilty to supporting terror,77,en,1
13,449010627,20150714,201507,2015,2015.5315,GOV,GOVERNMENT,,GOV,1,57,57,5,1,8.0,10,1,10,-5.15723270440252,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,4,"Athens, AttikíR, Greece",GR,GR35,16716,37.9833,23.7333,-814876,20150714143000,http://cointelegraph.com/news/114841/corrupt-dea-agent-ordered-to-forfeit-stolen-bitcoin-swift-offers-15000-grant-for-blockchain-research,corrupt dea agent ordered to forfeit stolen bitcoin swift offers 15000 grant for blockchain research,100,en,1
16,483231507,20151109,201511,2015,2015.8466,GOV,GOVERNOR,,GOV,1,100,100,10,3,-5.0,10,1,10,-1.42959256611865,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20151109143000,http://www.4-traders.com/STANBIC-IBTC-BANK-PLC-12168017/news/Stanbic-IBTC-Bank--Shareholders-Versus-Stanbic-IBTC-Bank-Face-Off-Reopens-Old-Friction-Between-CBN-21377029/,Stanbic IBTC Bank  Shareholders Versus Stanbic IBTC Bank Face Off Reopens Old Friction Between CBN 21377029,107,en,1
18,451240965,20150722,201507,2015,2015.5534,EDUCOP,SCHOOL,,EDU,1,173,173,17,4,-5.0,4,1,4,3.57142857142857,4,"Szczytno, Kujawsko-Pomorskie, Poland",PL,PL73,24332,52.4653,18.9596,-532059,4,"Szczytno, Kujawsko-Pomorskie, Poland",PL,PL73,24332,52.4653,18.9596,-532059,20150722091500,http://wiadomosci.onet.pl/opole/swieto-policji-pierwsza-w-polsce-nominacja-generalska-dla-kobiety/1btc3w,1btc3w,6,en,1
19,536365226,20160502,201605,2016,2016.3342,GBR,UNITED KINGDOM,GBR,,1,51,51,5,1,3.4,4,1,4,0.0757575757575799,4,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,4,"Cambridge, Cambridgeshire, United Kingdom",UK,UKC3,40098,52.2,0.116667,-2591658,20160502180000,http://www.ibtimes.co.uk/consensus-2016-bitcoin-takes-governance-lessons-ethereum-1557840,consensus 2016 bitcoin takes governance lessons ethereum 1557840,64,en,1
20,473023874,20151005,201510,2015,2015.7534,,,,,0,40,40,4,1,1.0,10,1,10,-0.45871559633028,0,,,,,,,,4,"Kiev, Ukraine (general), Ukraine",UP,UP00,28554,50.4333,30.5167,-1044367,20151005041500,http://www.newsbtc.com/2015/10/05/ukraines-central-bank-issues-bitcoin-warning/,ukraines central bank issues bitcoin warning,44,en,1
21,445645432,20150702,201507,2015,2015.4986,BUS,AIRLINE,,BUS,1,100,100,10,3,-5.0,10,1,10,-3.50877192982456,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,2,"Connecticut, United States",US,USCT,,41.5834,-72.7622,CT,20150702190000,http://www.eturbonews.com/60965/btc-calls-us-state-attorneys-general-reengage-airline-competitio,btc calls us state attorneys general reengage airline competitio,64,en,1
23,490260406,20151202,201512,2015,2015.9096,USA,UNITED STATES,USA,,1,40,40,4,1,1.0,2,1,2,1.39720558882236,2,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,0,"Iowa, United States",US,USIA,,42.0046,-93.214,IA,20151202000000,https://bitcoinmagazine.com/articles/bitgo-s-mike-belshe-on-doing-what-matters-1449009068,bitgo s mike belshe on doing what matters 1449009068,52,en,1
26,524402219,20160325,201603,2016,2016.2329,BUS,BUSINESS,,BUS,0,10,10,1,1,0.0,4,1,4,-2.85913528591353,1,Uruguay,UY,UY,,-33.0,-56.0,UY,0,Uruguay,UY,UY,,-33.0,-56.0,UY,20160325114500,http://www.pymnts.com/news/bitcoin-tracker/2016/bitcoins-ransomware-problem-and-bernies-bitcoin-bounty/,bitcoins ransomware problem and bernies bitcoin bounty,54,en,1
27,520402115,20160312,201603,2016,2016.1973,VNM,VIETNAM,VNM,,1,13,13,1,1,0.4,2,1,2,-2.65151515151515,1,"Vietnam, Republic Of",VM,VM,,16.0,106.0,VM,0,"Vietnam, Republic Of",VM,VM,,16.0,106.0,VM,20160312144500,http://themerkle.com/vietnamese-officials-warn-consumers-on-bitcoin-and-digital-currencies/,vietnamese officials warn consumers on bitcoin and digital currencies,69,en,1
28,474795024,20151010,201510,2015,2015.7671,LAB,EMPLOYEE,,LAB,0,30,30,3,1,4.0,10,1,10,1.93905817174515,5,"Inagua, Inagua, Bahamas, The",BF,BF13,5747,21.0769,-73.3117,-1543501,0,"Inagua, Inagua, Bahamas, The",BF,BF13,5747,21.0769,-73.3117,-1543501,20151010091500,http://www.bahamaislandsinfo.com/index.php?option=com_content&view=article&id=22268:btc-4g-lte-services-restored-to-deadmans-cay&catid=46:News%20&%20stories%20from%20our%20family%20of%20islands&Itemid=149,index.php?option=com content&view=article&id=22268:btc 4g lte services restored to deadmans cay&catid=46:News%20&%20stories%20from%20our%20family%20of%20islands&Itemid=149,171,en,1
30,464382271,20150907,201509,2015,2015.6767,BUS,BANK,,BUS,0,130,130,13,3,-4.4,10,1,10,0.96501809408926,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,0,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20150907011500,http://www.punchng.com/business/money/frc-investigates-stanbic-ibtc-rights-issue/,frc investigates stanbic ibtc rights issue,42,en,1
