News Name,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
news.bitcoin.com,6179,6179,6179,6179,6179,5617,5617,3319,3028,6179,6179,6179,6179,6179,6179,6179,6179,6179,6179,6179,5337,5338,5338,2140,5337,5338,5338,6179,5873,5876,5876,2269,5873,5875,5876,6179,6179,6179,6179,6179,6179
www.newsbtc.com,5258,5258,5258,5258,5258,4799,4799,2753,2665,5258,5258,5258,5258,5258,5258,5258,5258,5258,5258,5258,4622,4624,4624,1800,4622,4622,4624,5258,5067,5070,5070,1901,5067,5068,5070,5258,5258,5258,5258,5258,5258
cointelegraph.com,3022,3022,3022,3022,3022,2780,2780,1628,1505,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,2677,2677,2677,1008,2677,2677,2677,3022,2911,2913,2913,1048,2911,2913,2913,3022,3022,3022,3022,3022,3022
thebitcoinnews.com,2679,2679,2679,2679,2679,2438,2438,1381,1394,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679,2278,2279,2279,950,2278,2279,2279,2679,2502,2503,2503,1011,2502,2503,2503,2679,2679,2679,2679,2679,2679
www.coindesk.com,2528,2528,2528,2528,2528,2292,2292,1338,1258,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2528,2226,2227,2227,738,2226,2226,2227,2528,2453,2454,2454,802,2453,2453,2454,2528,2528,2528,2528,2528,2528
bitcoinmagazine.com,1840,1840,1840,1840,1840,1671,1671,1029,899,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1840,1585,1585,1585,631,1585,1585,1585,1840,1749,1750,1750,671,1749,1749,1750,1840,1840,1840,1840,1840,1840
insidebitcoins.com,1660,1660,1660,1660,1660,1524,1524,885,845,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660,1451,1453,1453,519,1451,1451,1453,1660,1579,1581,1581,523,1579,1579,1581,1660,1660,1660,1660,1660,1660
www.forbes.com,1358,1358,1358,1358,1358,1252,1252,729,656,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1210,1210,1210,427,1210,1210,1210,1358,1310,1311,1311,426,1310,1311,1311,1358,1358,1358,1358,1358,1358
barbadostoday.bb,1323,1323,1323,1323,1323,1207,1207,693,666,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323,1323,1199,1200,1200,553,1199,1199,1200,1323,1315,1316,1316,583,1315,1315,1316,1323,1323,1323,1323,1323,1323
btcmanager.com,1300,1300,1300,1300,1300,1179,1179,699,625,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1110,1110,1110,432,1110,1110,1110,1300,1222,1223,1223,463,1222,1222,1223,1300,1300,1300,1300,1300,1300
www.cryptocoinsnews.com,1214,1214,1214,1214,1214,1107,1107,633,605,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1214,1055,1055,1055,419,1055,1055,1055,1214,1159,1159,1159,433,1159,1159,1159,1214,1214,1214,1214,1214,1214
bitcoinexchangeguide.com,960,960,960,960,960,849,849,468,482,960,960,960,960,960,960,960,960,960,960,960,715,715,715,317,715,715,715,960,809,809,809,353,809,809,809,960,960,960,960,960,960
mrtopstep.com,921,921,921,921,921,845,845,503,466,921,921,921,921,921,921,921,921,921,921,921,820,821,821,281,820,821,821,921,890,891,891,304,890,890,891,921,921,921,921,921,921
www.express.co.uk,869,869,869,869,869,808,808,459,440,869,869,869,869,869,869,869,869,869,869,869,751,751,751,278,751,751,751,869,808,809,809,292,808,808,809,869,869,869,869,869,869
bitcoinist.net,773,773,773,773,773,703,703,385,390,773,773,773,773,773,773,773,773,773,773,773,675,675,675,256,675,675,675,773,743,743,743,258,743,743,743,773,773,773,773,773,773
www.livebitcoinnews.com,772,772,772,772,772,707,707,403,402,772,772,772,772,772,772,772,772,772,772,772,647,648,648,255,647,648,648,772,704,706,706,268,704,705,706,772,772,772,772,772,772
www.independent.co.uk,728,728,728,728,728,681,681,409,358,728,728,728,728,728,728,728,728,728,728,728,638,638,638,307,638,638,638,728,683,683,683,314,683,683,683,728,728,728,728,728,728
www.coinspeaker.com,700,700,700,700,700,638,638,381,342,700,700,700,700,700,700,700,700,700,700,700,623,623,623,216,623,623,623,700,684,684,684,236,684,684,684,700,700,700,700,700,700
www.dailymail.co.uk,699,699,699,699,699,628,628,365,340,699,699,699,699,699,699,699,699,699,699,699,615,615,615,191,615,615,615,699,684,684,684,204,684,684,684,699,699,699,699,699,699
finance.yahoo.com,677,677,677,677,677,642,642,385,367,677,677,677,677,677,677,677,677,677,677,677,590,590,590,194,590,590,590,677,624,624,624,198,624,624,624,677,677,677,677,677,677
www.businessinsider.com,671,671,671,671,671,618,618,341,355,671,671,671,671,671,671,671,671,671,671,671,597,597,597,210,597,597,597,671,647,647,647,209,647,647,647,671,671,671,671,671,671
www.zerohedge.com,668,668,668,668,668,618,618,360,332,668,668,668,668,668,668,668,668,668,668,668,587,587,587,198,587,587,587,668,635,635,635,216,635,635,635,668,668,668,668,668,668
www.fxstreet.com,648,648,648,648,648,598,598,367,322,648,648,648,648,648,648,648,648,648,648,648,576,576,576,197,576,576,576,648,624,624,624,209,624,624,624,648,648,648,648,648,648
bitcoinschannel.com,621,621,621,621,621,562,562,307,312,621,621,621,621,621,621,621,621,621,621,621,517,518,518,229,517,518,518,621,574,574,574,253,574,574,574,621,621,621,621,621,621
www.cnbc.com,586,586,586,586,586,535,535,336,270,586,586,586,586,586,586,586,586,586,586,586,505,505,505,191,505,505,505,586,554,555,555,203,554,554,555,586,586,586,586,586,586
www.marketwatch.com,550,550,550,550,550,502,502,302,255,550,550,550,550,550,550,550,550,550,550,550,489,489,489,166,489,489,489,550,537,537,537,170,537,537,537,550,550,550,550,550,550
www.ibtimes.com,547,547,547,547,547,486,486,264,273,547,547,547,547,547,547,547,547,547,547,547,477,477,477,148,477,477,477,547,534,534,534,157,534,534,534,547,547,547,547,547,547
www.bangkokpost.com,541,541,541,541,541,493,493,272,279,541,541,541,541,541,541,541,541,541,541,541,486,486,486,149,486,486,486,541,532,532,532,146,532,532,532,541,541,541,541,541,541
www.businessinsider.com.au,515,515,515,515,515,479,479,263,280,515,515,515,515,515,515,515,515,515,515,515,466,466,466,186,466,466,466,515,500,500,500,193,500,500,500,515,515,515,515,515,515
www.bloomberg.com,509,509,509,509,509,463,463,276,247,509,509,509,509,509,509,509,509,509,509,509,449,449,449,143,449,449,449,509,491,491,491,157,491,491,491,509,509,509,509,509,509
www.ccn.com,502,502,502,502,502,449,449,282,232,502,502,502,502,502,502,502,502,502,502,502,419,419,419,168,419,419,419,502,467,467,467,175,467,467,467,502,502,502,502,502,502
www.nasdaq.com,454,454,454,454,454,415,415,239,229,454,454,454,454,454,454,454,454,454,454,454,399,399,399,147,399,399,399,454,438,438,438,155,438,438,438,454,454,454,454,454,454
techstory.in,453,453,453,453,453,411,411,255,200,453,453,453,453,453,453,453,453,453,453,453,407,407,407,153,407,407,407,453,448,448,448,164,448,448,448,453,453,453,453,453,453
www.tribune242.com,447,447,447,447,447,405,405,221,230,447,447,447,447,447,447,447,447,447,447,447,405,405,405,226,405,405,405,447,447,447,447,236,447,447,447,447,447,447,447,447,447
www.reuters.com,444,444,444,444,444,410,410,245,218,444,444,444,444,444,444,444,444,444,444,444,396,396,396,123,396,396,396,444,428,428,428,116,428,428,428,444,444,444,444,444,444
bravenewcoin.com,420,420,420,420,420,379,379,197,223,420,420,420,420,420,420,420,420,420,420,420,364,364,364,135,364,364,364,420,400,401,401,146,401,401,401,420,420,420,420,420,420
thenextweb.com,390,390,390,390,390,363,363,219,192,390,390,390,390,390,390,390,390,390,390,390,347,347,347,122,347,347,347,390,373,373,373,125,373,373,373,390,390,390,390,390,390
www.bnnbloomberg.ca,389,389,389,389,389,362,362,228,185,389,389,389,389,389,389,389,389,389,389,389,359,359,359,113,359,359,359,389,386,386,386,109,386,386,386,389,389,389,389,389,389
www.4-traders.com,378,378,378,378,378,348,348,203,197,378,378,378,378,378,378,378,378,378,378,378,337,337,337,128,337,337,337,378,365,365,365,131,365,365,365,378,378,378,378,378,378
www.econotimes.com,371,371,371,371,371,328,328,187,180,371,371,371,371,371,371,371,371,371,371,371,311,311,311,122,311,311,311,371,352,352,352,125,352,352,352,371,371,371,371,371,371
news.yahoo.com,371,371,371,371,371,336,336,198,175,371,371,371,371,371,371,371,371,371,371,371,334,334,334,101,334,334,334,371,368,368,368,111,368,368,368,371,371,371,371,371,371
www.msn.com,369,369,369,369,369,346,346,212,184,369,369,369,369,369,369,369,369,369,369,369,342,342,342,138,342,342,342,369,365,365,365,130,365,365,365,369,369,369,369,369,369
invezz.com,355,355,355,355,355,317,317,180,173,355,355,355,355,355,355,355,355,355,355,355,307,307,307,120,307,307,307,355,343,343,343,133,343,343,343,355,355,355,355,355,355
www.business-standard.com,354,354,354,354,354,325,325,204,162,354,354,354,354,354,354,354,354,354,354,354,321,322,322,125,321,322,322,354,349,350,350,127,349,350,350,354,354,354,354,354,354
forextv.com,351,351,351,351,351,316,316,197,179,351,351,351,351,351,351,351,351,351,351,351,306,306,306,116,306,306,306,351,339,339,339,123,339,339,339,351,351,351,351,351,351
www.crowdfundinsider.com,348,348,348,348,348,308,308,192,167,348,348,348,348,348,348,348,348,348,348,348,300,300,300,98,300,300,300,348,337,337,337,112,337,337,337,348,348,348,348,348,348
www.telegraph.co.uk,344,344,344,344,344,315,315,198,167,344,344,344,344,344,344,344,344,344,344,344,303,303,303,76,303,303,303,344,332,332,332,85,332,332,332,344,344,344,344,344,344
www.cityam.com,335,335,335,335,335,303,303,182,168,335,335,335,335,335,335,335,335,335,335,335,297,297,297,101,297,297,297,335,328,328,328,106,328,328,328,335,335,335,335,335,335
www.ibtimes.co.uk,333,333,333,333,333,304,304,180,156,333,333,333,333,333,333,333,333,333,333,333,290,291,291,109,290,290,291,333,318,319,319,111,318,318,319,333,333,333,333,333,333
qz.com,329,329,329,329,329,312,312,184,175,329,329,329,329,329,329,329,329,329,329,329,306,306,306,123,306,306,306,329,321,321,321,128,321,321,321,329,329,329,329,329,329
www.nbcnews.com,315,315,315,315,315,292,292,174,151,315,315,315,315,315,315,315,315,315,315,315,262,262,262,120,262,262,262,315,283,283,283,122,283,283,283,315,315,315,315,315,315
article.wn.com,313,313,313,313,313,284,284,161,165,313,313,313,313,313,313,313,313,313,313,313,277,278,278,90,277,278,278,313,305,306,306,90,305,306,306,313,313,313,313,313,313
www.investing.com,308,308,308,308,308,293,293,172,162,308,308,308,308,308,308,308,308,308,308,308,276,277,277,108,276,276,277,308,290,291,291,115,290,290,291,308,308,308,308,308,308
www.altcointoday.com,304,304,304,304,304,277,277,173,140,304,304,304,304,304,304,304,304,304,304,304,256,257,257,105,256,257,257,304,281,282,282,117,281,282,282,304,304,304,304,304,304
www.afr.com,303,303,303,303,303,277,277,162,155,303,303,303,303,303,303,303,303,303,303,303,274,274,274,98,274,274,274,303,300,300,300,97,300,300,300,303,303,303,303,303,303
www.forexcrunch.com,299,299,299,299,299,275,275,164,141,299,299,299,299,299,299,299,299,299,299,299,258,258,258,87,258,258,258,299,282,282,282,93,282,282,282,299,299,299,299,299,299
menafn.com,295,295,295,295,295,271,271,164,139,295,295,295,295,295,295,295,295,295,295,295,263,263,263,113,263,263,263,295,286,286,286,116,286,286,286,295,295,295,295,295,295
www.moneyweb.co.za,294,294,294,294,294,267,267,147,161,294,294,294,294,294,294,294,294,294,294,294,262,262,262,93,262,262,262,294,289,289,289,91,289,289,289,294,294,294,294,294,294
www.nigeriatoday.ng,294,294,294,294,294,266,266,150,162,294,294,294,294,294,294,294,294,294,294,294,212,212,212,88,212,212,212,294,234,234,234,92,234,234,234,294,294,294,294,294,294
www.theguardian.com,290,290,290,290,290,269,269,155,156,290,290,290,290,290,290,290,290,290,290,290,259,259,259,89,259,259,259,290,278,278,278,83,278,278,278,290,290,290,290,290,290
bitcointalk.org,287,287,287,287,287,255,255,159,127,287,287,287,287,287,287,287,287,287,287,287,253,253,253,127,253,253,253,287,285,285,285,139,285,285,285,287,287,287,287,287,287
siliconangle.com,287,287,287,287,287,258,258,150,133,287,287,287,287,287,287,287,287,287,287,287,249,249,249,98,249,249,249,287,276,276,276,109,276,276,276,287,287,287,287,287,287
www.thestar.com.my,272,272,272,272,272,253,253,150,136,272,272,272,272,272,272,272,272,272,272,272,250,250,250,82,250,250,250,272,267,267,267,80,267,267,267,272,272,272,272,272,272
