News Name Suffix,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name
com,123280,123280,123280,123280,123280,123280,112768,112768,66599,61563,123280,123280,123280,123280,123280,123280,123280,123280,123280,123280,123280,109481,109497,109497,42954,109481,109492,109497,123280,119661,119683,119683,43087,119661,119675,119683,123280,123280,123280,123280,123280,123280
uk,6784,6784,6784,6784,6784,6784,6236,6236,3966,3213,6784,6784,6784,6784,6784,6784,6784,6784,6784,6784,6784,6009,6014,6014,2269,6009,6009,6014,6784,6521,6527,6527,2289,6521,6521,6527,6784,6784,6784,6784,6784,6784
net,3799,3799,3799,3799,3799,3799,3488,3488,2181,1797,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3799,3397,3397,3397,1286,3397,3397,3397,3799,3698,3698,3698,1218,3698,3698,3698,3799,3799,3799,3799,3799,3799
au,2742,2742,2742,2742,2742,2742,2487,2487,1507,1321,2742,2742,2742,2742,2742,2742,2742,2742,2742,2742,2742,2432,2437,2437,1026,2432,2432,2437,2742,2677,2683,2683,1033,2677,2677,2683,2742,2742,2742,2742,2742,2742
org,2119,2119,2119,2119,2119,2119,1963,1963,1262,911,2119,2119,2119,2119,2119,2119,2119,2119,2119,2119,2119,1945,1945,1945,798,1945,1945,1945,2119,2099,2099,2099,771,2099,2099,2099,2119,2119,2119,2119,2119,2119
bb,1962,1962,1962,1962,1962,1962,1775,1775,948,976,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1775,1775,1775,421,1775,1775,1775,1962,1962,1962,1962,429,1962,1962,1962,1962,1962,1962,1962,1962,1962
in,1735,1735,1735,1735,1735,1735,1609,1609,906,921,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1735,1566,1566,1566,690,1566,1566,1566,1735,1687,1687,1687,715,1687,1687,1687,1735,1735,1735,1735,1735,1735
za,1576,1576,1576,1576,1576,1576,1438,1438,866,746,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576,1403,1403,1403,563,1403,1403,1403,1576,1538,1538,1538,611,1538,1538,1538,1576,1576,1576,1576,1576,1576
ca,1534,1534,1534,1534,1534,1534,1389,1389,804,764,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1534,1354,1356,1356,674,1354,1354,1356,1534,1497,1499,1499,688,1497,1497,1499,1534,1534,1534,1534,1534,1534
ng,971,971,971,971,971,971,895,895,528,485,971,971,971,971,971,971,971,971,971,971,971,881,881,881,336,881,881,881,971,957,957,957,358,957,957,957,971,971,971,971,971,971
co,579,579,579,579,579,579,534,534,351,253,579,579,579,579,579,579,579,579,579,579,579,529,529,529,162,529,529,529,579,573,573,573,179,573,573,573,579,579,579,579,579,579
my,571,571,571,571,571,571,524,524,341,244,571,571,571,571,571,571,571,571,571,571,571,504,504,504,320,504,504,504,571,547,548,548,321,547,547,548,571,571,571,571,571,571
de,517,517,517,517,517,517,457,457,254,245,517,517,517,517,517,517,517,517,517,517,517,435,435,435,202,435,435,435,517,491,491,491,219,491,491,491,517,517,517,517,517,517
pk,463,463,463,463,463,463,431,431,277,228,463,463,463,463,463,463,463,463,463,463,463,424,424,424,211,424,424,424,463,455,455,455,215,455,455,455,463,463,463,463,463,463
ie,404,404,404,404,404,404,380,380,242,186,404,404,404,404,404,404,404,404,404,404,404,377,379,379,163,377,377,379,404,400,402,402,171,400,400,402,404,404,404,404,404,404
io,373,373,373,373,373,373,335,335,241,170,373,373,373,373,373,373,373,373,373,373,373,335,335,335,80,335,335,335,373,373,373,373,83,373,373,373,373,373,373,373,373,373
nz,350,350,350,350,350,350,312,312,174,179,350,350,350,350,350,350,350,350,350,350,350,300,304,304,107,300,300,304,350,334,339,339,117,334,334,339,350,350,350,350,350,350
gr,313,313,313,313,313,313,288,288,177,125,313,313,313,313,313,313,313,313,313,313,313,283,283,283,81,283,283,283,313,307,307,307,96,307,307,307,313,313,313,313,313,313
com:443,276,276,276,276,276,276,245,245,114,143,276,276,276,276,276,276,276,276,276,276,276,237,237,237,130,237,237,237,276,266,266,266,122,266,266,266,276,276,276,276,276,276
sg,265,265,265,265,265,265,241,241,137,135,265,265,265,265,265,265,265,265,265,265,265,240,240,240,90,240,240,240,265,264,264,264,95,264,264,264,265,265,265,265,265,265
it,243,243,243,243,243,243,221,221,169,73,243,243,243,243,243,243,243,243,243,243,243,220,220,220,72,220,220,220,243,242,242,242,67,242,242,242,243,243,243,243,243,243
mt,198,198,198,198,198,198,186,186,163,23,198,198,198,198,198,198,198,198,198,198,198,185,185,185,30,185,185,185,198,197,197,197,37,197,197,197,198,198,198,198,198,198
ae,196,196,196,196,196,196,175,175,111,100,196,196,196,196,196,196,196,196,196,196,196,173,173,173,77,173,173,173,196,194,194,194,80,194,194,194,196,196,196,196,196,196
ke,171,171,171,171,171,171,155,155,85,95,171,171,171,171,171,171,171,171,171,171,171,153,153,153,63,153,153,153,171,169,169,169,67,169,169,169,171,171,171,171,171,171
il,166,166,166,166,166,166,149,149,95,71,166,166,166,166,166,166,166,166,166,166,166,149,149,149,65,149,149,149,166,166,166,166,65,166,166,166,166,166,166,166,166,166
vn,154,154,154,154,154,154,143,143,78,89,154,154,154,154,154,154,154,154,154,154,154,142,142,142,85,142,142,142,154,153,153,153,89,153,153,153,154,154,154,154,154,154
tv,147,147,147,147,147,147,136,136,91,63,147,147,147,147,147,147,147,147,147,147,147,129,129,129,67,129,129,129,147,140,140,140,63,140,140,140,147,147,147,147,147,147
