News Name,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name Suffix
news.bitcoin.com,9023,9023,9023,9023,9023,9023,8389,8389,4800,4780,9023,9023,9023,9023,9023,9023,9023,9023,9023,9023,9023,8338,8341,8341,3245,8338,8339,8341,9023,8968,8972,8972,3394,8968,8970,8972,9023,9023,9023,9023,9023,9023
www.newsbtc.com,7597,7597,7597,7597,7597,7597,6852,6852,3769,3965,7597,7597,7597,7597,7597,7597,7597,7597,7597,7597,7597,6297,6297,6297,2106,6297,6297,6297,7597,6989,6989,6989,2161,6989,6989,6989,7597,7597,7597,7597,7597,7597
cointelegraph.com,4410,4410,4410,4410,4410,4410,4054,4054,2586,2036,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,4410,3962,3963,3963,1280,3962,3963,3963,4410,4303,4307,4307,1283,4303,4306,4307,4410,4410,4410,4410,4410,4410
thebitcoinnews.com,3882,3882,3882,3882,3882,3882,3577,3577,2286,1796,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3570,3573,3573,1190,3570,3573,3573,3882,3874,3877,3877,1253,3874,3877,3877,3882,3882,3882,3882,3882,3882
www.coindesk.com,3635,3635,3635,3635,3635,3635,3334,3334,1873,1822,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3635,3215,3215,3215,1123,3215,3215,3215,3635,3506,3506,3506,1101,3506,3506,3506,3635,3635,3635,3635,3635,3635
bitcoinmagazine.com,2653,2653,2653,2653,2653,2653,2433,2433,1449,1254,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653,2653,2404,2404,2404,842,2404,2404,2404,2653,2620,2620,2620,861,2620,2620,2620,2653,2653,2653,2653,2653,2653
insidebitcoins.com,2406,2406,2406,2406,2406,2406,2213,2213,1219,1275,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2135,2135,2135,568,2135,2135,2135,2406,2319,2319,2319,559,2319,2319,2319,2406,2406,2406,2406,2406,2406
www.forbes.com,1933,1933,1933,1933,1933,1933,1741,1741,1014,964,1933,1933,1933,1933,1933,1933,1933,1933,1933,1933,1933,1652,1652,1652,579,1652,1652,1652,1933,1832,1832,1832,567,1832,1832,1832,1933,1933,1933,1933,1933,1933
btcmanager.com,1903,1903,1903,1903,1903,1903,1748,1748,1089,930,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1903,1747,1747,1747,591,1747,1747,1747,1903,1902,1902,1902,628,1902,1902,1902,1903,1903,1903,1903,1903,1903
www.cryptocoinsnews.com,1715,1715,1715,1715,1715,1715,1588,1588,920,884,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1572,1572,1572,567,1572,1572,1572,1715,1698,1698,1698,529,1698,1698,1698,1715,1715,1715,1715,1715,1715
